"Raster","SD","Entropy"
"red",0.0583502810037782,5.36427301968412
"green",0.0422613478861157,5.02025581055683
"blue",0.039794673608281,4.86735666653553
"nir",0.109753050666846,6.01587932155599
"swir1",0.0725431833158473,5.54420152789411
"tir",0.153584761030927,6.85921405579556
"Fused_Enhanced",0.0417079526970037,6.74068087449298
"Fused_TR_Lap",0.10990261110103,7.68391884929243
